"miRNA"	"Count"
"hsa-miR-204-5p"	2
"hsa-miR-204-5p"	23
"hsa-miR-204-5p"	50
"hsa-miR-204-5p"	35
"hsa-miR-204-5p"	19
"hsa-miR-204-5p"	12
"hsa-miR-204-5p"	1
"hsa-miR-205-5p"	1
"hsa-miR-205-5p"	1
"hsa-miR-210-3p"	1
"hsa-miR-210-3p"	161
"hsa-miR-210-3p"	1
"hsa-miR-210-3p"	996
"hsa-miR-210-3p"	15
"hsa-miR-210-3p"	49
"hsa-miR-210-3p"	2
"hsa-miR-210-3p"	14
"hsa-miR-210-3p"	1
"hsa-miR-211-5p"	2
"hsa-miR-212-3p"	2
"hsa-miR-212-3p"	1
"hsa-miR-181a-3p"	77
"hsa-miR-181a-3p"	23
"hsa-miR-181a-3p"	6
"hsa-miR-181a-3p"	1
"hsa-miR-181a-3p"	7
"hsa-miR-214-3p"	1
"hsa-miR-214-3p"	1
"hsa-miR-214-3p"	1
"hsa-miR-214-3p"	2
"hsa-miR-215-5p"	3
"hsa-miR-215-5p"	11
"hsa-miR-215-5p"	5
"hsa-miR-215-5p"	2
"hsa-miR-215-5p"	107
"hsa-miR-215-5p"	39
"hsa-miR-215-5p"	1
"hsa-miR-217"	18
"hsa-miR-217"	5
"hsa-miR-217"	3
"hsa-miR-217"	1
"hsa-miR-218-5p"	12
"hsa-miR-218-5p"	12
"hsa-miR-218-5p"	1
"hsa-miR-218-5p"	1
"hsa-miR-218-5p"	1
"hsa-miR-218-5p"	1
"hsa-miR-218-5p"	1
"hsa-miR-218-5p"	10
"hsa-miR-218-5p"	11
"hsa-miR-219a-5p"	1
